Thématiques 2628,Numéro de dépôt,Public concerné,Contexte,Format (ANDPC),Typologie de formation,Type d'EPP,Durée totale,Prise en charge,Indemnités PS,Formateur(s),ODPC,Commercialisation,U1 - Typologie,U1 - Format,U1 - Nb d'heure(s) total,U2 - Typologie,U2 - Format,U2 - Nb d'heure(s) total,U3 - Typologie,U3 - Format,U3 - Nb d'heure(s) total,Fiche mémo pdf
Maladie de Parkinson : rééducation des patients (https://www.notion.so/Maladie-de-Parkinson-r-ducation-des-patients-2101e0168e70805ca93ef73f34616a52?pvs=21),94632525477,Masseur-kinésithérapeute (https://www.notion.so/Masseur-kin-sith-rapeute-7fd63965076f462cab24f32d4c890881?pvs=21),"La maladie de Parkinson, deuxième maladie neurodégénérative après Alzheimer, représente 6.1 millions de cas dans le monde, 270 000 personnes en France et 25 000 nouveaux cas par an. 
La part de la population française des personnes âgées de + de 60 ans aujourd’hui représente 15 millions de personnes soit 26% de la population ( + de ⅓ de population en 2050).
En raison du vieillissement général de la population à travers le monde, les chercheurs prévoient que le nombre de cas pourrait doubler d’ici à 2040. 
Cette évolution suppose la mobilisation de nombreux experts dont notamment les kinésithérapeutes. Nous avons un rôle essentiel pour repérer, mettre en place les moyens thérapeutiques nécessaires et accompagner nos patients parkinsoniens dans leurs parcours tout au long de leur maladie.",E-learning,PI,AC,5,"165,30 €","76,00 €",Eloise FERRANTIN (https://www.notion.so/Eloise-FERRANTIN-848911e5be7b421a86803c79a23d01f6?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,2,Formation Continue,Non présentiel,1,Evaluation des pratiques professionnelles,Non présentiel,2,
Chemsex : repérage et accompagnement des patients (https://www.notion.so/Chemsex-rep-rage-et-accompagnement-des-patients-2141e0168e7080619d67f5f3f36ee2ff?pvs=21),94632425259,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"Le chemsex (pratique d’activité sexuelle sous l’influence de substances psycho-actives) est un enjeu récent de santé publique, majoritairement rapporté chez les hommes ayant des relations sexuelles avec des hommes (HSH) mais touchant aussi d’autres populations vulnérables. Il associe consommation de stimulants (méthamphétamine, cathinones, cocaïne), GHB/GBL, kétamine, etc., à des pratiques sexuelles prolongées et à risque, exposant à des complications infectieuses (VIH, VHB/VHC, IST), neurologiques (coma, somnolence), psychiatriques (psychoses, suicidabilité), et à un risque d’installation d’un trouble de l’usage. 
Le rapport national coordonné par le Pr A. Benyamina (2022) recommande de renforcer le repérage, la formation et l’outillage des professionnels de santé, et de développer des parcours intégrés entre addictologie, infectiologie et psychiatrie. La guide RESPADD propose depuis 2021 des outils opérationnels pour le repérage précoce et l’intervention brève en santé sexuelle en contexte addictologique. Cette formation concerne des médecins qui rencontrent déjà ces situations en pratique courante et qui ont commencé à intégrer les recommandations nationales. 
",E-learning,PI,AC,11,"589,00 €","157,50 €",Loïc LEMAIN (https://www.notion.so/Lo-c-LEMAIN-26f3472f05194057aa252b6403c2be5b?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Prise en charge de la patiente avec une pré-éclampsie sévère (https://www.notion.so/Prise-en-charge-de-la-patiente-avec-une-pr-clampsie-s-v-re-22b1e0168e7080d0b816e54816b13b20?pvs=21),94632525572,Anesthésie-réanimation (https://www.notion.so/Anesth-sie-r-animation-431aee497624405fb2a527081ba3d867?pvs=21),"La pré-éclampsie sévère est une pathologie obstétricale d’incidence relativement faible mais aux conséquences potentiellement dramatiques pour la mère comme pour l’enfant à naître. En France, elle représente encore une cause majeure de morbidité maternelle grave, responsable de dysfonctions multiviscérales (atteintes neurologiques, rénales, hépatiques, cardio respiratoires) et d’un tiers des naissances prématurées. Les enquêtes nationales ont montré que plus de 70 % des décès maternels liés à cette pathologie auraient pu être évités, soulignant le rôle crucial d’une prise en charge optimale et coordonnée.
L’évolution récente des connaissances et des pratiques a profondément modifié la définition et la stratégie thérapeutique de cette affection. Les recommandations récentes ont apporté une réactualisation majeure des critères diagnostiques, de la stratégie antihypertensive, de l’utilisation du sulfate de magnésium, du monitorage maternel et fœtal, et des indications anesthésiques en contexte d’urgence obstétricale. Elles ont également précisé la prévention, les facteurs de risque, et le suivi à long terme des patientes, intégrant les enjeux cardiovasculaires post-grossesse et l’importance d’une prise en charge anticipative.
Dans ce contexte, le rôle de l’anesthésiste-réanimateur est central, notamment dans la gestion des complications vitales telles que l’éclampsie, l’œdème pulmonaire, les hémorragies obstétricales ou les défaillances multiviscérales. Ces praticiens doivent maîtriser non seulement les traitements médicamenteux validés et les stratégies anesthésiques adaptées, mais aussi l’utilisation des technologies de monitorage avancé, les outils d’aide cognitive, et les protocoles de simulation permettant une réponse efficace aux situations de crise.
Par ailleurs, la dimension organisationnelle et interprofessionnelle constitue un élément clé de la sécurité des patientes. La qualité de la communication entre obstétriciens, anesthésistes-réanimateurs, sages-femmes et néonatologistes est déterminante dans l’issue maternelle et néonatale. La formation continue des anesthésistes-réanimateurs doit donc permettre de renforcer à la fois les compétences techniques, décisionnelles et collaboratives, afin de réduire la morbi-mortalité maternelle et périnatale.",E-learning,FC,NA (FC),3,"142,50 €","0,00 €",Lyria YAHIAOUI (https://www.notion.so/Lyria-YAHIAOUI-2061e0168e708031b6acf962238cbfb0?pvs=21),GRAAD,Commercialisée,Formation Continue,Non présentiel,3,,,0,,,0,
Radioprotection du patient en chirurgie dentaire (https://www.notion.so/Radioprotection-du-patient-en-chirurgie-dentaire-1f81e0168e7080939896e6443be7e662?pvs=21),94632525580,Chirurgie dentaire (omnipraticiens) (https://www.notion.so/Chirurgie-dentaire-omnipraticiens-c26f7078b2e0496c90e124ca9bad7436?pvs=21),"La radioprotection en chirurgie dentaire constitue une priorité de santé publique, compte tenu de l’usage fréquent de la radiographie dans le diagnostic et la planification des soins dentaires. En France, le cadre réglementaire évolue pour intégrer les dernières recommandations européennes (directive 2013/59/Euratom), et la Haute Autorité de Santé encourage l'adoption des bonnes pratiques d'exposition, en cohérence avec les principes ALARA et ALADA. 
Le recours croissant à l'imagerie 3D, notamment à la tomographie volumique à faisceau conique (CBCT), implique une maîtrise renforcée des paramètres techniques, des dispositifs de contrôle qualité, et de l'évaluation systématique des indications. 
Cette formation a pour ambition de renforcer la culture de sécurité des soins en chirurgie dentaire en soutenant les professionnels dans une démarche proactive de maîtrise des risques liés aux rayonnements ionisants, en cohérence avec les exigences réglementaires du Code de la santé publique et du Code du travail.",E-learning,PI,AC,6,"224,40 €","88,00 €",Mohammed DAHBOUNE (https://www.notion.so/Mohammed-DAHBOUNE-1f81e0168e7080ceaae8ee56aaf472b8?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,2,Formation Continue,Non présentiel,2,Evaluation des pratiques professionnelles,Non présentiel,2,
Prise en charge et suivi de la dépression du post-partum (https://www.notion.so/Prise-en-charge-et-suivi-de-la-d-pression-du-post-partum-2081e0168e7080f3919bcb573a442900?pvs=21),94632525576,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"La période du post-partum constitue une phase de vulnérabilité accrue pour les femmes, durant laquelle le risque de survenue de dépression est particulièrement élevé. Il s’agit d’une des complications les plus fréquentes de la grossesse, 7 à 20 % des mères développant une dépression du post-partum, qui peut survenir jusqu'à un an après l'accouchement. Une méta-analyse récente confirme une prévalence élevée et variable selon les populations (Liu et al., 2022). 
Ces troubles exposent à un risque accru de complications mère-enfant (attachement, développement), et environ 20% des cas peuvent comporter des idées suicidaires. La dépression du post-partum et l’épisode dépressif caractérisé non périnatal partagent les mêmes critères diagnostics, à savoir une humeur dépressive, perte d’intérêt, anhédonie, de perturbations du sommeil et de l’appétit, de troubles de la concentration, de perturbations psychomotrices, de fatigue, de sentiments de culpabilité ou de dévalorisation, et de pensées suicidaires (concernant 20% des femmes souffrant d’une dépression du post-partum), sur une période de deux semaines consécutives. Elle peut avoir des conséquences directes sur la relation mère-enfant et le développement psychique du nourrisson. Il est donc important de diagnostiquer une dépression du post-partum, d'organiser la prise en charge multidisciplinaire adéquate, et le traitement médicamenteux indiqué si nécessaire. La recommandation de bonnes pratiques de la HAS (2017) sur l’épisode dépressif caractérisé reste le référentiel national pour le diagnostic, le dépistage et le suivi. 

Toutefois, la prise en charge de la dépression post-partum présente plusieurs spécificités. Elle nécessite notamment un dépistage ciblé, un choix thérapeutique adapté en cas d’allaitement, ainsi qu’une coordination pluridisciplinaire renforcée. Pour cette raison, les psychiatres doivent s’appuyer non seulement sur les recommandations générales de la dépression, mais également sur les données scientifiques propres à la périnatalité.",E-learning,EPP,AC,4,"228,00 €","90,00 €",Jacques DAABOUL  (https://www.notion.so/Jacques-DAABOUL-0451574f3d294d5d9469e82ae6464516?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,2,Evaluation des pratiques professionnelles,Non présentiel,2,,,0,
Diagnostic et prise en charge de la dépression du sujet âgé (https://www.notion.so/Diagnostic-et-prise-en-charge-de-la-d-pression-du-sujet-g-20e1e0168e7080ae9acdd3256711a0bf?pvs=21),94632525577,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"La dépression chez les personnes âgées est une pathologie courante, souvent méconnue et sous-diagnostiquée, en particulier en raison de ses symptômes qui peuvent être confondus avec les effets normaux du vieillissement. Elle touche environ 20 % des personnes âgées, avec une incidence particulièrement élevée chez celles résidant en institution. Souvent associée à d’autres problématiques physiques et psychosociales, la dépression du sujet âgé peut se manifester par des troubles cognitifs, des plaintes somatiques, des pertes d’intérêt et des sentiments de désespoir. Cependant, ces signes cliniques sont fréquemment interprétés comme des manifestations normales de l’âge ou des réactions compréhensibles à des circonstances difficiles, ce qui retarde la prise en charge.
Les origines de la dépression chez les aînés sont multiples et intriquées, incluant les comorbidités somatiques, telles que les douleurs chroniques, les maladies cardiovasculaires, la maladie d’Alzheimer ou d’autres troubles neurodégénératifs. D’autres facteurs de vulnérabilité incluent la perte d’autonomie, l’isolement, le veuvage, les transitions majeures comme le départ du domicile, les maltraitances, ainsi que les effets secondaires de certains médicaments. La consommation d’alcool, parfois utilisée pour atténuer les sentiments de dépression, peut également aggraver ces symptômes. De plus, la stigmatisation entourant les troubles de santé mentale et la croyance que la dépression est une réaction normale au vieillissement découragent souvent les personnes âgées de demander de l’aide.
Les conséquences de la dépression non traitée chez les sujets âgés sont sévères. Non seulement elle altère profondément la qualité de vie et l’autonomie des patients, mais elle est également la principale cause de suicide dans cette tranche d’âge, avec un risque suicidaire jusqu’à cinq fois supérieur à celui des plus jeunes. Les professionnels de santé jouent un rôle clé dans le dépistage et la prise en charge de cette pathologie, en raison du manque d’initiative des patients eux-mêmes pour rechercher de l’aide.
Les traitements de la dépression chez le sujet âgé doivent être adaptés aux particularités de cette population. Outre les antidépresseurs, une prise en charge personnalisée et multidisciplinaire est souvent nécessaire, combinant soutien psychologique, sociothérapie et thérapeutiques non médicamenteuses pour optimiser les résultats. Une sensibilisation accrue aux signes spécifiques et atypiques de la dépression, ainsi qu’une formation des médecins psychiatres à des stratégies de prise en charge adaptées, sont essentielles pour répondre aux besoins complexes de cette population vulnérable.",E-learning,EPP,AC,4,"228,00 €","90,00 €",Céline CANDILLIER (https://www.notion.so/C-line-CANDILLIER-11b1e0168e7080bab8ddfca99d557698?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,2,Evaluation des pratiques professionnelles,Non présentiel,2,,,0,
Toxicomanie : repérage et prise en charge (https://www.notion.so/Toxicomanie-rep-rage-et-prise-en-charge-2161e0168e7080dfa0abe26f35633a35?pvs=21),94632525578,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"La toxicomanie est un terme synonyme d’addition qui renvoie dans notre imaginaire aux usagers de drogues illicites par voie intraveineuse.Pour cette formation, nous axerons notre propos sur les substances psychoactives les plus répandus hors alcool et tabac. Nous nous intéressons donc aux troubles liés à l’usage du cannabis, de la cocaïne (dont la cocaïne base, également connue sous le nom de crack), à la MDMA, à la méthamphétamine, aux produits de synthèse, au LSD et au GHB.D’un point de vue épidémiologique, 11% des adultes en France consommaient du cannabis au moins une fois dans l’année, 1.6% de la cocaïne, 1% de la MDMA, 0.3% des amphétamines et 0.2% du crack. Les consommations de cannabis sont répandues en population générale et présentent des risques spécifiques que nous aborderons au cours de cette formation qu’il s’agisse des répercussions pulmonaires, cardiovasculaires ou sur la santé mentale. Les consommations de cocaïnes sont quant à elles en constante augmentation (5 fois plus de consommateurs en 2017 qu’en 1992) et sont donc de plus en plus visibles dans notre société. Ces consommations de cocaïne et de crack posent un problème de santé publique et de plus en plus de professionnels de santé se questionnent sur comment prendre en charge cette addiction.Cette formation permettra également de mettre l’accent sur des sujets prioritaires en addictologie : la prévention et l’accompagnement chez les adolescents et les jeunes adultes, l'accompagnement des publics précaires et la prise en charge des polyaddictions.",E-learning,EPP,AC,4,"228,00 €","90,00 €",Loïc LEMAIN (https://www.notion.so/Lo-c-LEMAIN-26f3472f05194057aa252b6403c2be5b?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,2,Evaluation des pratiques professionnelles,Non présentiel,2,,,0,
Chemsex : repérage et accompagnement des patients (https://www.notion.so/Chemsex-rep-rage-et-accompagnement-des-patients-2141e0168e7080619d67f5f3f36ee2ff?pvs=21),94632525579,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"Le chemsex (pratique d’activité sexuelle sous l’influence de substances psycho-actives) est un enjeu récent de santé publique, majoritairement rapporté chez les hommes ayant des relations sexuelles avec des hommes (HSH) mais touchant aussi d’autres populations vulnérables. Il associe consommation de stimulants (méthamphétamine, cathinones, cocaïne), GHB/GBL, kétamine, etc., à des pratiques sexuelles prolongées et à risque, exposant à des complications infectieuses (VIH, VHB/VHC, IST), neurologiques (coma, somnolence), psychiatriques (psychoses, suicidabilité), et à un risque d’installation d’un trouble de l’usage. 
Le rapport national coordonné par le Pr A. Benyamina (2022) recommande de renforcer le repérage, la formation et l’outillage des professionnels de santé, et de développer des parcours intégrés entre addictologie, infectiologie et psychiatrie. La guide RESPADD propose depuis 2021 des outils opérationnels pour le repérage précoce et l’intervention brève en santé sexuelle en contexte addictologique. Cette formation concerne des médecins qui rencontrent déjà ces situations en pratique courante et qui ont commencé à intégrer les recommandations nationales. 
",E-learning,EPP,AC,4,"228,00 €","90,00 €",Loïc LEMAIN (https://www.notion.so/Lo-c-LEMAIN-26f3472f05194057aa252b6403c2be5b?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,2,Evaluation des pratiques professionnelles,Non présentiel,2,,,0,
Prise en soin de l’endométriose par les infirmier(ère)s (https://www.notion.so/Prise-en-soin-de-l-endom-triose-par-les-infirmier-re-s-22c1e0168e70806fb2e0f779b11c9d44?pvs=21),94632626020,Infirmier Diplômé d'Etat (IDE) (https://www.notion.so/Infirmier-Dipl-m-d-Etat-IDE-1f6423a8bfbf482d8317276a73305e84?pvs=21),"L’endométriose est une maladie gynécologique chronique responsable de douleurs pelviennes et d’un retentissement fonctionnel important. Le repérage des symptômes évocateurs, la traçabilité des éléments diagnostiques disponibles, l’accompagnement et l’éducation thérapeutique, ainsi que la coordination du parcours (orientation vers spécialistes/structures dédiées) sont des leviers clés pour réduire les retards de prise en charge et améliorer la qualité de vie.",E-learning,EPP,AC,4,"136,80 €","76,00 €",Anais MARI (https://www.notion.so/Anais-MARI-2011e0168e7080b1bc19cf0c844c9bd1?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,2,Evaluation des pratiques professionnelles,Non présentiel,2,,,0,
La coqueluche chez les nourrissons : diagnostic et prise en charge  (https://www.notion.so/La-coqueluche-chez-les-nourrissons-diagnostic-et-prise-en-charge-20e1e0168e708013b086f89314d2e98b?pvs=21),94632626089,Pédiatrie (https://www.notion.so/P-diatrie-63878eb075064206871eaa41b3f97bea?pvs=21),"La coqueluche est une infection bactérienne des voies aériennes respiratoires basses. Chez l’être humain, deux germes sont responsables de la coqueluche : Bordetella pertussis (majorité des cas) et Bordetella parapertussis. Les deux formes sont similaires en termes de symptômes. Cependant, B. parapertussis est responsable d'une coqueluche moins grave et moins longue.
La coqueluche représente un enjeu majeur de Santé Publique car elle atteint des individus particulièrement vulnérables : les nourrissons. Le principal risque est le décès de nourrissons de moins de 12 mois. La reconnaissance précoce d’un cas de coqueluche, l’identification d’une forme grave et la prise en charge des individus amenés à être en contact avec un nourrisson (stratégie de type cocooning) est primordial pour diminuer l’impact de cette maladie.
Le traitement repose sur une antibiothérapie à débuter dès que possible, dans les premières semaines d’évolution de la maladie. Toutefois, de plus en plus, on observe l’émergence d’une résistance aux antibiotiques usuellement prescrits, comme dans les pays du Sud-Est asiatique ou en Chine. En France, le Centre National de Référence des Coqueluche rapporte quelques cas, confirmés, de résistance aux macrolides sur l’année 2024.Cette formation se situe dans un contexte où la coqueluche demeure un défi pour les médecins. En effet, malgré des stratégies vaccinales éprouvées, l’année depuis 2024 a permis d’observer une augmentation des cas de coqueluche dans de nombreux pays d’Europe, dont la France, entraînant une augmentation du nombre d’hospitalisations et de décès. Plusieurs facteurs peuvent probablement rendre compte de ces observations. Cette intensité épidémique a, néanmoins, conduit à des ruptures d’approvisionnement en réactifs de PCR (employé dans le diagnostic des cas de coqueluche) et de pénurie d’antibiotiques.","E-learning, Présentiel",FC,NA (FC),5,"427,50 €","180,00 €",Majistor MAGLORIUS (https://www.notion.so/Majistor-MAGLORIUS-ac23962029564c82aa7f0328c4d4b4ea?pvs=21),GRAAD,Commercialisée,Formation Continue,Non présentiel,1,Formation Continue,Présentiel,4,,,0,
La coqueluche chez les nourrissons : diagnostic et prise en charge  (https://www.notion.so/La-coqueluche-chez-les-nourrissons-diagnostic-et-prise-en-charge-20e1e0168e708013b086f89314d2e98b?pvs=21),94632626090,Pédiatrie (https://www.notion.so/P-diatrie-63878eb075064206871eaa41b3f97bea?pvs=21),"La coqueluche est une infection bactérienne des voies aériennes respiratoires basses. Chez l’être humain, deux germes sont responsables de la coqueluche : Bordetella pertussis (majorité des cas) et Bordetella parapertussis. Les deux formes sont similaires en termes de symptômes. Cependant, B. parapertussis est responsable d'une coqueluche moins grave et moins longue.
La coqueluche représente un enjeu majeur de Santé Publique car elle atteint des individus particulièrement vulnérables : les nourrissons. Le principal risque est le décès de nourrissons de moins de 12 mois. La reconnaissance précoce d’un cas de coqueluche, l’identification d’une forme grave et la prise en charge des individus amenés à être en contact avec un nourrisson (stratégie de type cocooning) est primordial pour diminuer l’impact de cette maladie.
Le traitement repose sur une antibiothérapie à débuter dès que possible, dans les premières semaines d’évolution de la maladie. Toutefois, de plus en plus, on observe l’émergence d’une résistance aux antibiotiques usuellement prescrits, comme dans les pays du Sud-Est asiatique ou en Chine. En France, le Centre National de Référence des Coqueluche rapporte quelques cas, confirmés, de résistance aux macrolides sur l’année 2024.
Cette formation se situe dans un contexte où la coqueluche demeure un défi pour les médecins. En effet, malgré des stratégies vaccinales éprouvées, l’année depuis 2024 a permis d’observer une augmentation des cas de coqueluche dans de nombreux pays d’Europe, dont la France, entraînant une augmentation du nombre d’hospitalisations et de décès. Plusieurs facteurs peuvent probablement rendre compte de ces observations. Cette intensité épidémique a, néanmoins, conduit à des ruptures d’approvisionnement en réactifs de PCR (employé dans le diagnostic des cas de coqueluche) et de pénurie d’antibiotiques.","Classe virtuelle, E-learning",FC,NA (FC),5,"351,50 €","180,00 €",Majistor MAGLORIUS (https://www.notion.so/Majistor-MAGLORIUS-ac23962029564c82aa7f0328c4d4b4ea?pvs=21),GRAAD,Commercialisée,Formation Continue,Non présentiel,1,Formation Continue,Classe virtuelle,4,,,0,
"[Location] Evaluation, traitement et prise en charge de la douleur dans la cervicalgie aiguë  (https://www.notion.so/Location-Evaluation-traitement-et-prise-en-charge-de-la-douleur-dans-la-cervicalgie-aigu-3101e0168e708080bae9db997a30125d?pvs=21)",94632626174,Masseur-kinésithérapeute (https://www.notion.so/Masseur-kin-sith-rapeute-7fd63965076f462cab24f32d4c890881?pvs=21),"En France, près de deux tiers de la population présente au cours de sa vie un épisode de cervicalgie, dont une proportion significative correspond à des formes aiguës caractérisées par une apparition brutale des symptômes.
 
Les facteurs physiques à l’origine de cette douleur sont variés. Il est donc primordial que le masseur-kinésithérapeute dispose d’une compréhension globale de la pathologie, afin d’optimiser la prise en charge thérapeutique.
 
Il est également indispensable que le praticien adopte une démarche clinique rigoureuse, notamment en évaluant la pertinence d’une prise en charge kinésithérapique immédiate ou la nécessité de réorienter le patient pour un avis médical ou des investigations complémentaires.
 
Cette formation a pour objectif de renforcer l’expertise du kinésithérapeute dans la prise en charge de la cervicalgie aiguë, autant au niveau du bilan diagnostique que dans la mise en œuvre du traitement et de la rééducation.
",Classe virtuelle,FC,NA (FC),7,"319,20 €","266,00 €",Julien BERTRAND (https://www.notion.so/Julien-BERTRAND-3101e0168e7080778596dd23d9869b90?pvs=21),GRAAD,Commercialisée,Formation Continue,Classe virtuelle,7,,,0,,,0,https://file.notion.so/f/f/d7794563-a9b1-4415-846e-1c1c3213473f/346e39ef-011a-4f50-a705-899c3a625682/KINE_CV_FC_7H_174_DCA.pdf?table=block&id=3451e016-8e70-81ad-8513-fe80b148da93&spaceId=d7794563-a9b1-4415-846e-1c1c3213473f&expirationTimestamp=1777060800000&signature=GQ4q70BiKai5mY2sGi-UYuVEspqKyr80BCRKnumWn_0&downloadName=KINE_CV_FC_7H_174_DCA.pdf
"[Location] Evaluation, traitement et prise en charge de la douleur dans la lombalgie chronique (https://www.notion.so/Location-Evaluation-traitement-et-prise-en-charge-de-la-douleur-dans-la-lombalgie-chronique-3101e0168e70803ba67ecc47370d58bb?pvs=21)",94632626175,Masseur-kinésithérapeute (https://www.notion.so/Masseur-kin-sith-rapeute-7fd63965076f462cab24f32d4c890881?pvs=21),"Un tiers des arrêts maladie supérieurs à six mois est attribuable à la lombalgie chronique (source INRS), ce qui en fait un problème central de santé publique et un impact économique notable du fait de ses répercussions sur la vie professionnelles des patients atteints.
Les facteurs physiques à l’origine de cette douleur sont variés. Il est donc primordial que le masseur-kinésithérapeute dispose d’une compréhension globale de la pathologie, afin d’optimiser la prise en charge thérapeutique.
En France, les fausses croyances autour de la lombalgies et des gestes à privilégier pour y faire face restent fréquentes. Le kinésithérapeute est l’interlocuteur privilégié pour fournir la conduite à tenir et sécuriser le patient.
Cette formation a pour objectif de renforcer l’expertise du kinésithérapeute dans la prise en charge de la lombalgie chronique, autant au niveau du bilan diagnostique que dans la mise en œuvre du plan de rééducation.
Ce programme DPC dédié à la prise en charge de la lombalgie chronique en cabinet de kinésithérapie permet :
 
• La proposition de techniques de rééducation spécifiques en cabinet, associées à un accompagnement du patient vers son autonomisation.
 
• Une actualisation des connaissances et notions du kinésithérapeute sur le fonctionnement de la région lombaire.
 
• La mise à disposition d’outils d’évaluation permettant d’élaborer un protocole de rééducation adapté.",Classe virtuelle,FC,NA (FC),7,"319,20 €","266,00 €",Julien BERTRAND (https://www.notion.so/Julien-BERTRAND-3101e0168e7080778596dd23d9869b90?pvs=21),GRAAD,Commercialisée,Formation Continue,Classe virtuelle,7,,,0,,,0,https://file.notion.so/f/f/d7794563-a9b1-4415-846e-1c1c3213473f/1a01928f-4b42-4543-8cf5-7b62807bce06/KINE_CV_FC_7H_175_DLC.pdf?table=block&id=3451e016-8e70-8122-b49b-e5e3bbb045cf&spaceId=d7794563-a9b1-4415-846e-1c1c3213473f&expirationTimestamp=1777060800000&signature=m_UT6wnWUK9cnmM5teBMF9IzsHwsh6b0ce80FsiW7Vw&downloadName=KINE_CV_FC_7H_175_DLC.pdf
[Location] Prévention des infections et de l’antibiorésistance en soins infirmiers (https://www.notion.so/Location-Pr-vention-des-infections-et-de-l-antibior-sistance-en-soins-infirmiers-3101e0168e7080a0a5acd2bec33e7eb1?pvs=21),94632626176,Infirmier Diplômé d'Etat (IDE) (https://www.notion.so/Infirmier-Dipl-m-d-Etat-IDE-1f6423a8bfbf482d8317276a73305e84?pvs=21),"Cette classe virtuelle s’adresse aux infirmier·ère·s diplômé·e·s d’État souhaitant renforcer leurs compétences dans la prévention des infections et la lutte contre l’antibiorésistance. À travers une approche interactive, la formation aborde les notions essentielles en microbiologie, les modes de transmission des agents infectieux, les mesures de prévention en soins infirmiers, ainsi que les bonnes pratiques en matière d’usage des antibiotiques.
Les IDE apprendront également à accompagner le patient dans la compréhension de son traitement antibiotique, à repérer les situations à risque infectieux en pratique courante, et à contribuer activement à la sécurité des soins. 
L’objectif est de renforcer leur rôle pivot dans la prévention des infections liées aux soins et la promotion d’un usage raisonné des antibiotiques.",Classe virtuelle,FC,NA (FC),7,"319,20 €","266,00 €",Jean-Charles GAGNARD (https://www.notion.so/Jean-Charles-GAGNARD-3101e0168e7080e092e9fd55c54d848e?pvs=21),GRAAD,Commercialisée,Formation Continue,Classe virtuelle,7,,,0,,,0,https://file.notion.so/f/f/d7794563-a9b1-4415-846e-1c1c3213473f/11254ab6-98bb-4289-82a4-2bd0c76fd1d7/IDE_CV_FC_7H_176_PIA.pdf?table=block&id=34b1e016-8e70-81b4-93f9-f20deb7e3f95&spaceId=d7794563-a9b1-4415-846e-1c1c3213473f&expirationTimestamp=1777060800000&signature=qhCHgLT3IljOpwjJetlR8aft1cDM47RQBqlNrvCGfsU&downloadName=IDE_CV_FC_7H_176_PIA.pdf
[Location] Plaies aiguës et chroniques : perfectionnement des pratiques IDEL - niveau 1 (https://www.notion.so/Location-Plaies-aigu-s-et-chroniques-perfectionnement-des-pratiques-IDEL-niveau-1-3101e0168e708042bfbafcede27f01df?pvs=21),94632626177,Infirmier Diplômé d'Etat (IDE) (https://www.notion.so/Infirmier-Dipl-m-d-Etat-IDE-1f6423a8bfbf482d8317276a73305e84?pvs=21),"La prise en charge des plaies aiguës et chroniques constitue une part importante de l’activité des infirmiers diplômés d’État libéraux (IDEL) et repose sur une évaluation clinique rigoureuse, souvent réalisée à partir de l’observation visuelle de la plaie. 
L’interprétation dermatologique de plaies est ainsi une compétence essentielle, notamment pour apprécier l’état des tissus, suivre l’évolution de la cicatrisation et adapter les soins dans le temps.
Cette formation s’appuie sur l’analyse d’images issues de situations cliniques rencontrées à domicile afin de développer le raisonnement clinique des IDEL. 
Elle permet d’aborder, à partir de supports visuels, les principes fondamentaux de la cicatrisation, l’identification des différents types de tissus, le repérage des signes d’infection ou de complication, ainsi que le choix raisonné des pansements et des soins associés.",Classe virtuelle,EPP,VC,7,"383,04 €","266,00 €",Oscar DUBOIS-ROQUEBERT (https://www.notion.so/Oscar-DUBOIS-ROQUEBERT-3101e0168e7080e5a9cecdb50e5a1ff1?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Classe virtuelle,7,,,0,,,0,https://file.notion.so/f/f/d7794563-a9b1-4415-846e-1c1c3213473f/e2726eeb-41dc-4ccb-b2fa-0f23dfab466f/IDE_CV_EPP_7H_177_PAC.pdf?table=block&id=3451e016-8e70-81a0-957a-e45f87e405a2&spaceId=d7794563-a9b1-4415-846e-1c1c3213473f&expirationTimestamp=1777060800000&signature=mUf3G_tN7IJ54Xud7N4Kaj6pLlAsLH5Fk8UvobrCOhE&downloadName=IDE_CV_EPP_7H_177_PAC.pdf
